GEOCODIGO1,Quantidade_Paralizacao,GEOCODIGO,AG002,ES002,IN014
230480,0,2304806,687,292,100
230490,6,2304905,3037,1000,100
230500,15,2305001,5532,825,72
230510,0,2305100,637,418,NA
230520,34,2305209,4030,NA,NA
230523,14,2305233,19113,1900,99.04
230526,NA,2305266,NA,NA,100
230530,9,2305308,4121,NA,80.92
230533,12,2305332,3335,NA,NA
230535,6,2305357,6598,NA,86.09
230540,14,2305407,13760,4855,100
230550,6,2305506,28818,4586,90
230560,1,2305605,4357,1209,NA
230565,NA,2305654,NA,NA,NA
230570,0,2305704,2597,NA,68.35
230580,NA,2305803,NA,NA,100
230590,NA,2305902,NA,NA,NA
230600,9,2306009,3857,2500,100
230610,32,2306108,3088,NA,100
230620,23,2306207,1295,NA,99.42
230630,11,2306306,10190,363,NA
230640,17,2306405,22191,10599,98.93
230650,8,2306504,3649,NA,90.07
230660,0,2306603,664,NA,58.69
230670,16,2306702,3504,129,87.31
230680,7,2306801,2695,1816,NA
230690,90,2306900,10013,2619,100
230700,6,2307007,5908,NA,NA
230710,NA,2307106,NA,NA,NA
230720,3,2307205,1435,NA,98.67
230730,307,2307304,84500,21828,93.61
230740,10,2307403,6190,1886,NA
230750,47,2307502,6633,NA,NA
230760,7,2307601,19148,4192,NA
230763,NA,2307635,NA,NA,NA
230770,88,2307700,26613,2573,NA
230800,30,2308005,7506,2001,93.76
230810,6,2308104,5780,1061,100
230820,7,2308203,1432,NA,NA
230830,11,2308302,2812,NA,NA
230835,NA,2308351,NA,NA,NA
230837,8,2308377,2321,NA,NA
230840,30,2308401,5111,163,NA
230850,10,2308500,6643,NA,100
230860,5,2308609,3483,NA,NA
230870,2,2308708,16866,336,NA
230900,13,2309003,3549,662,NA
230910,2,2309102,1294,218,100
230920,2,2309201,3958,NA,97.14
230930,NA,2309300,NA,NA,NA
230940,25,2309409,5225,2037,70.41
230945,15,2309458,2872,479,100
230950,25,2309508,5659,NA,NA
230960,5,2309607,16911,768,NA
230980,3,2309805,950,782,NA
230990,5,2309904,1751,NA,NA
231000,30,2310001,2208,NA,95.95
231010,1,2310100,1452,384,NA
231030,10,2310308,4815,NA,100
231040,10,2310407,2228,358,100
231050,18,2310506,6642,NA,100
231060,5,2310605,2673,NA,NA
231070,29,2310704,8136,NA,83.24
231080,0,2310803,2717,NA,NA
231090,3,2310902,2634,NA,100
231095,30,2310951,1210,NA,NA
231100,13,2311009,2730,840,0
231110,4,2311108,2309,393,NA
231120,1,2311207,1971,NA,98.72
231123,0,2311231,1039,NA,NA
231126,1,2311264,2151,NA,88.18
231130,8,2311306,18198,3606,75.32
231135,12,2311355,2238,1476,100
231140,194,2311405,17696,NA,21.45
231150,17,2311504,2696,NA,100
231160,61,2311603,6394,283,NA
231170,59,2311702,3166,NA,NA
231180,11,2311801,16540,4639,NA
231190,2,2311900,2134,95,10
231195,0,2311959,299,262,NA
231200,0,2312007,4064,NA,NA
231210,4,2312106,2101,NA,92.92
231220,12,2312205,8210,NA,68.68
231230,13,2312304,8450,2694,70.14
231250,NA,2312502,NA,NA,NA
231270,10,2312700,5061,NA,NA
231290,19,2312908,60137,40351,100
231300,20,2313005,4149,NA,53.61
231310,19,2313104,7619,1014,NA
231320,30,2313203,4385,NA,NA
231325,0,2313252,1021,81,30.52
231330,51,2313302,10876,1362,52.83
231335,30,2313351,1829,NA,NA
231340,18,2313401,19547,5410,81.86
231360,13,2313609,5878,NA,100
231370,2,2313708,1117,1267,75.38
231375,6,2313757,4020,NA,100
231380,2,2313807,4941,NA,NA
231395,38,2313955,4745,NA,95.55
231400,14,2314003,8987,2700,100
240010,NA,2400109,3538,2944,88.51
240020,NA,2400208,13131,NA,98.36
240030,NA,2400307,1579,1372,100
240040,NA,2400406,712,NA,100
240050,0,2400505,2833,2379,NA
240060,NA,2400604,1157,NA,100
240070,NA,2400703,2986,61,100
240080,NA,2400802,4020,NA,NA
240090,NA,2400901,NA,489,100
240100,NA,2401008,7307,NA,82.19
240110,NA,2401107,6996,NA,99.12
240130,NA,2401305,1807,NA,63.53
240145,NA,2401453,5501,NA,NA
240150,NA,2401503,1118,NA,100
240160,NA,2401602,904,NA,100
240165,NA,2401651,508,NA,77.49
240170,NA,2401701,3792,NA,NA
240180,5,2401800,2522,NA,94.08
240185,NA,2401859,1301,NA,NA
240190,NA,2401909,862,268,NA
240200,NA,2402006,19633,1677,97.68
240210,NA,2402105,1783,331,NA
240230,NA,2402303,5224,NA,NA
240240,NA,2402402,NA,NA,94.98
240250,NA,2402501,927,699,NA
240270,NA,2402709,1765,NA,NA
240280,NA,2402808,861,NA,100
240290,NA,2402907,520,NA,100
240300,NA,2403004,2468,2211,100
240310,NA,2403103,11246,8816,NA
240320,NA,2403202,1336,401,NA
240330,NA,2403301,1310,2777,92.67
240340,NA,2403400,1476,NA,NA
240370,NA,2403707,1078,NA,NA
240375,NA,2403756,1048,NA,NA
240380,NA,2403806,2593,2207,NA
240390,NA,2403905,557,NA,NA
240400,NA,2404002,996,NA,100
240410,NA,2404101,NA,NA,100
240430,NA,2404309,1778,NA,NA
240440,NA,2404408,2435,NA,NA
240450,NA,2404507,2561,NA,99.81
240460,NA,2404606,518,NA,100
240470,NA,2404705,1081,NA,100
240480,NA,2404804,756,NA,100
240485,NA,2404853,NA,NA,NA
240490,NA,2404903,1613,NA,NA
240500,NA,2405009,1233,NA,100
240510,NA,2405108,977,NA,NA
240520,NA,2405207,1381,NA,NA
240530,NA,2405306,1522,NA,NA
240540,NA,2405405,1214,NA,NA
240550,NA,2405504,411,NA,NA
240560,NA,2405603,3391,500,99.11
240570,NA,2405702,3901,NA,5.99
240580,NA,2405801,7883,2600,52.12
240590,NA,2405900,NA,NA,100
240600,NA,2406007,1245,142,NA
240610,NA,2406106,4586,1215,30.85
240620,NA,2406205,1573,NA,NA
240630,NA,2406304,1299,NA,96.07
240640,NA,2406403,939,NA,NA
240650,NA,2406502,2109,1451,26.92
240660,NA,2406601,2207,NA,NA
240670,NA,2406700,2714,1855,100
240680,NA,2406809,817,458,NA
240690,NA,2406908,745,786,100
240700,NA,2407005,NA,NA,NA
240710,NA,2407104,12144,733,100
240720,NA,2407203,7841,6459,100
240725,NA,2407252,NA,NA,100
240730,NA,2407302,1858,NA,100
240740,NA,2407401,2151,NA,100
240760,NA,2407609,709,NA,NA
240780,NA,2407807,5374,384,NA
240790,NA,2407906,594,NA,NA
240800,NA,2408003,71850,31745,99.95
240830,NA,2408300,9510,2086,73.96
240840,NA,2408409,959,NA,NA
240850,NA,2408508,1297,700,26.65
240860,NA,2408607,870,NA,100
240870,NA,2408706,1134,NA,100
240880,NA,2408805,937,NA,NA
240890,NA,2408904,6319,5510,94.28
240910,NA,2409100,2744,990,94.79
240920,NA,2409209,568,NA,NA
240930,NA,2409308,162,NA,NA
240933,NA,2409332,1075,NA,NA
240940,NA,2409407,9248,1072,72.5
240950,NA,2409506,580,NA,100
240960,NA,2409605,355,NA,NA
240970,NA,2409704,1505,969,NA
240990,NA,2409902,2983,1219,NA
241000,NA,2410009,919,NA,100
241010,NA,2410108,3208,NA,NA
241020,NA,2410207,1568,NA,100
241025,NA,2410256,603,NA,100
241030,NA,2410306,2592,NA,NA
241040,NA,2410405,1026,NA,NA
241050,NA,2410504,870,NA,100
241060,NA,2410603,700,NA,NA
241070,NA,2410702,621,NA,NA
241080,NA,2410801,483,NA,100
241090,NA,2410900,1570,1196,NA
241100,NA,2411007,1430,NA,NA
241105,NA,2411056,1568,NA,NA
241110,NA,2411106,687,NA,NA
241120,6,2411205,10320,9120,100
241140,NA,2411403,2577,NA,NA
241142,NA,2411429,511,593,100
241150,NA,2411502,4498,656,26.08
241160,NA,2411601,663,NA,NA
241170,NA,2411700,817,643,97.41
241180,NA,2411809,946,959,NA
241190,NA,2411908,1160,NA,100
241210,NA,2412104,1912,NA,100
241230,NA,2412302,3322,NA,NA
241240,NA,2412401,908,872,NA
241250,NA,2412500,NA,NA,100
241255,NA,2412559,270,NA,NA
241260,NA,2412609,4290,786,NA
241270,NA,2412708,1149,NA,NA
241280,NA,2412807,2216,1545,NA
241290,NA,2412906,2481,1010,NA
241300,NA,2413003,1751,NA,NA
241310,NA,2413102,1662,NA,NA
241330,NA,2413300,1232,NA,NA
241335,NA,2413359,185,NA,NA
241340,12,2413409,1776,1681,100
241350,NA,2413508,1056,NA,100
241355,NA,2413557,956,NA,NA
241360,NA,2413607,1661,NA,NA
241370,NA,2413706,625,NA,NA
241380,NA,2413805,550,NA,100
241390,NA,2413904,2203,NA,NA
241400,NA,2414001,4359,NA,NA
241410,NA,2414100,2173,NA,49.65
241415,NA,2414159,1482,NA,NA
241430,NA,2414308,757,NA,NA
241440,NA,2414407,691,NA,NA
241445,NA,2414456,750,NA,NA
241450,NA,2414506,3082,NA,NA
241460,NA,2414605,2670,NA,100
241470,NA,2414704,1526,NA,100
241475,NA,2414753,394,NA,100
241480,NA,2414803,4055,NA,NA
241490,NA,2414902,580,NA,100
250010,NA,2500106,1379,NA,NA
250020,NA,2500205,1137,NA,100
250053,0,2500536,1120,100,0
250057,NA,2500577,0,NA,NA
250070,NA,2500700,0,NA,100
250073,NA,2500734,499,124,NA
250077,NA,2500775,1477,NA,100
250090,NA,2500908,3486,3084,100
250100,NA,2501005,3300,2465,90.84
250115,NA,2501153,272,810,0
250120,NA,2501203,0,NA,100
250130,NA,2501302,0,NA,93.83
250135,NA,2501351,NA,NA,100
250150,NA,2501500,1584,NA,NA
250153,NA,2501534,NA,NA,100
250157,NA,2501575,336,NA,100
250160,NA,2501609,3081,NA,NA
250170,NA,2501708,0,NA,97.27
250200,NA,2502003,1447,1000,100
250205,NA,2502052,0,NA,NA
250210,NA,2502102,1262,NA,44.75
250215,NA,2502151,1436,NA,100
250220,NA,2502201,595,NA,100
250230,NA,2502300,711,NA,100
250240,NA,2502409,2617,1000,100
250250,NA,2502508,3451,3450,100
250260,NA,2502607,1467,NA,100
250280,NA,2502805,2846,NA,NA
250290,NA,2502904,1557,NA,NA
250310,NA,2503100,832,NA,NA
250330,NA,2503308,1218,NA,99.22
250340,NA,2503407,581,NA,100
250350,NA,2503506,3074,NA,100
250355,NA,2503555,0,1100,100
250360,NA,2503605,1808,NA,NA
250370,NA,2503704,19044,3086,90.13
250375,NA,2503753,459,115,100
250390,NA,2503902,1512,130,0
250400,NA,2504009,125763,98449,98
250407,NA,2504074,675,1150,NA
250410,NA,2504108,0,NA,100
250415,NA,2504157,946,NA,41.4
250420,NA,2504207,1002,350,100
250430,NA,2504306,6719,1754,100
250435,NA,2504355,576,NA,85.42
250440,NA,2504405,3875,1750,100
250450,NA,2504504,1921,NA,NA
250470,NA,2504702,1459,NA,26.67
250480,NA,2504801,NA,NA,94.71
250485,NA,2504850,383,NA,100
250500,NA,2505006,1819,214,NA
250510,NA,2505105,0,NA,NA
250530,NA,2505303,NA,NA,NA
250535,NA,2505352,0,NA,100
250540,NA,2505402,0,NA,100
250550,NA,2505501,807,NA,NA
250560,NA,2505600,1326,869,100
250570,NA,2505709,0,NA,95.07
250590,NA,2505907,653,NA,98.66
250600,NA,2506004,6222,NA,99.19
250610,NA,2506103,1868,NA,100
250620,NA,2506202,757,680,100
250625,NA,2506251,0,NA,NA
250650,NA,2506509,727,NA,NA
250660,NA,2506608,1322,NA,100
250670,NA,2506707,1413,NA,99.62
250680,NA,2506806,3901,NA,NA
250690,NA,2506905,5790,NA,NA
250700,NA,2507002,5202,1868,NA
250720,NA,2507200,1714,NA,65.21
250740,NA,2507408,1236,10,100
250770,NA,2507705,2497,NA,NA
250780,NA,2507804,NA,NA,NA
250800,NA,2508000,1529,NA,100
250810,NA,2508109,725,NA,NA
250830,NA,2508307,3285,137,85.43
250840,NA,2508406,441,NA,100
250850,NA,2508505,1364,NA,NA
250855,NA,2508554,629,NA,100
250870,7,2508703,1227,963,100
250880,NA,2508802,1732,NA,100
250900,NA,2509008,2314,700,100
250915,NA,2509156,1677,NA,NA
250920,NA,2509206,1362,NA,NA
250937,NA,2509370,224,NA,100
250939,NA,2509396,1481,850,100
250940,NA,2509404,927,NA,100
250950,NA,2509503,0,NA,100
250960,NA,2509602,1082,NA,NA
250970,NA,2509701,8100,6531,NA
250990,NA,2509909,1031,NA,100
251000,NA,2510006,1008,NA,NA
251010,NA,2510105,0,NA,NA
251020,NA,2510204,1205,NA,100
251030,NA,2510303,0,950,100
251040,NA,2510402,1367,NA,100
251050,NA,2510501,728,NA,NA
251060,NA,2510600,686,680,100
251065,NA,2510659,333,NA,NA
251070,NA,2510709,651,NA,NA
251080,NA,2510808,32926,2008,100
251090,NA,2510907,1392,NA,100
251100,2,2511004,700,250,99.83
251110,NA,2511103,1216,1500,100
251130,NA,2511301,3821,NA,98.65
251140,NA,2511400,4365,NA,NA
251200,NA,2512002,3556,NA,100
251203,NA,2512036,253,NA,100
251207,NA,2512077,765,0,100
251210,NA,2512101,9848,5879,100
251220,NA,2512200,887,NA,NA
251230,NA,2512309,5234,NA,NA
251240,NA,2512408,1550,NA,NA
251250,NA,2512507,9120,191,74.63
251260,NA,2512606,304,80,100
251270,NA,2512705,0,NA,100
251274,NA,2512747,0,NA,100
251275,NA,2512754,689,NA,NA
251278,NA,2512788,0,NA,100
251280,NA,2512804,0,100,100
251300,NA,2513000,593,151,100
251310,NA,2513109,1356,NA,100
251315,NA,2513158,NA,NA,NA
251320,NA,2513208,1314,NA,100
251330,NA,2513307,1128,1700,100
251335,3,2513356,570,560,100
251340,NA,2513406,4400,1700,100
251350,NA,2513505,916,NA,100
251360,NA,2513604,1313,NA,100
251365,NA,2513653,285,NA,NA
251380,NA,2513802,968,NA,67.78
251385,NA,2513851,NA,NA,NA
251390,NA,2513901,8094,9600,100
251392,NA,2513927,1009,NA,NA
251394,NA,2513943,592,420,98.45
251396,NA,2513968,NA,NA,NA
251398,NA,2513984,489,NA,60.72
251400,NA,2514008,1212,NA,NA
251410,NA,2514107,NA,NA,NA
251420,NA,2514206,1051,NA,100
251430,NA,2514305,871,NA,NA
251440,NA,2514404,664,NA,NA
251450,NA,2514503,4993,NA,100
251455,NA,2514552,NA,NA,NA
251460,NA,2514602,624,NA,100
251465,NA,2514651,373,120,100
251470,NA,2514701,1010,1200,100
251480,NA,2514800,876,NA,NA
251490,NA,2514909,2298,2000,100
251510,NA,2515104,1577,NA,81.19
251520,0,2515203,700,500,100
251540,NA,2515401,1236,NA,99.96
251550,NA,2515500,3564,NA,NA
251570,NA,2515708,829,NA,100
251600,NA,2516003,5651,NA,80.05
251610,NA,2516102,3727,NA,91.27
251615,NA,2516151,NA,NA,NA
251620,7,2516201,19046,7995,100
251630,NA,2516300,5272,1670,NA
251640,NA,2516409,1612,NA,100
251650,NA,2516508,0,NA,NA
251660,NA,2516607,3080,456,100
251670,NA,2516706,2904,NA,96.17
251675,0,2516755,472,1,100
251680,NA,2516805,0,NA,100
251690,NA,2516904,4025,NA,100
251700,NA,2517001,417,450,100
251710,NA,2517100,828,400,100
251720,NA,2517209,363,NA,100
251740,8,2517407,430,NA,89.4
260010,16,2600104,12539,NA,100
260020,0,2600203,2924,NA,NA
260030,0,2600302,7335,NA,NA
260050,0,2600500,5881,NA,98.13
260060,0,2600609,1927,NA,49.39
260080,0,2600807,6075,NA,NA
260100,0,2601003,2332,NA,94.83
260110,16,2601102,15114,10681,85
260120,0,2601201,19434,1095,NA
260160,0,2601607,4031,NA,NA
260170,0,2601706,25616,8468,8.24
260180,0,2601805,1691,1458,NA
260190,0,2601904,16402,NA,NA
260200,14,2602001,4855,7854,100
260210,0,2602100,9096,NA,NA
260220,0,2602209,7616,NA,NA
260240,0,2602407,1166,NA,NA
260250,0,2602506,1550,NA,99.74
260260,0,2602605,8156,5900,NA
260280,0,2602803,4794,NA,NA
260300,10,2603009,7833,5221,98.5
260310,0,2603108,5653,NA,NA
260320,0,2603207,1913,NA,100
260330,0,2603306,1229,NA,39.33
260340,6,2603405,829,NA,NA
260350,2,2603504,4130,NA,100
260370,0,2603702,4271,NA,97.98
260380,0,2603801,2130,NA,NA
260390,6,2603900,3793,NA,NA
260392,0,2603926,1200,1200,100
260410,0,2604106,94618,41896,12.63
